"","participant","file","session","stimuli","occurrence","start","end","duration"
"1","Participant1","Participant1_Session3_Corrected .vtt","Session3","deep_sea_diver",1,2023-07-17 00:20:51.38,NA,NA
"2","Participant1","Participant1_Session3_Corrected .vtt","Session3","deep_sea_divers",1,NA,2023-07-17 00:26:10.97,NA
"3","Participant1","Participant1_Session3_Corrected .vtt","Session3","birthday_party_fun",1,NA,2023-07-17 00:37:09.79,NA
"4","Participant1","Participant1_Session3_Corrected .vtt","Session3",NA,1,NA,NA,NA
"5","Participant1","Participant1_Session3_Corrected .vtt","Session3","arrival-6",1,NA,2023-07-17 00:56:12.918,NA
"6","Participant10","Participant10_Session2_Corrected.vtt","Session2","deep_sea_diver",1,2023-07-17 00:00:54.95,NA,NA
"7","Participant10","Participant10_Session2_Corrected.vtt","Session2","deep_sea_divers",1,NA,2023-07-17 00:05:50.99,NA
"8","Participant12","Participant12_Session2_Corrected.vtt","Session2","deep_sea_divers",1,NA,2023-07-17 00:22:38.99,NA
"9","Participant13","Participant13_Session3_Corrected.vtt","Session3","arrival-4",1,2023-07-17 00:05:16.53,NA,NA
"10","Participant13","Participant13_Session3_Corrected.vtt","Session3","arrival_1",1,NA,2023-07-17 00:05:22.957,NA
"11","Participant17","Participant17_Session2_Corrected .vtt","Session2","picture_this",1,NA,2023-07-17 00:02:53.512,NA
"12","Participant18","Participant18_Session1_Corrected.vtt","Session1","ancient_rome",1,NA,NA,NA
"13","Participant19","Participant19_Session1_Corrected .vtt","Session1",NA,1,NA,NA,NA
"14","Participant19","Participant19_Session1_Corrected .vtt","Session1","being_a_pirate",1,NA,2023-07-17 00:53:21.204,NA
"15","Participant20","Participant20_Session2_Corrected .vtt","Session2","deep_sea_diver",1,2023-07-17 00:52:34.71,NA,NA
"16","Participant20","Participant20_Session2_Corrected .vtt","Session2","deep_sea_divers",1,NA,2023-07-17 00:57:10.76,NA
"17","Participant20","Participant20_Session2_Corrected .vtt","Session2","by_the_lake",1,2023-07-17 00:57:30.61,NA,NA
"18","Participant21","Participant21_Session1_Corrected.vtt","Session1","unfriendly_giant",1,2023-07-17 00:00:50.8,NA,NA
"19","Participant21","Participant21_Session1_Corrected.vtt","Session1","unfriendly_giants",1,NA,2023-07-17 00:04:54.303,NA
"20","Participant22","Participant22_Session2_Corrected.vtt","Session2","Arrival_4",1,2023-07-17 00:00:33.63,NA,NA
"21","Participant22","Participant22_Session2_Corrected.vtt","Session2","arrival_4",1,NA,2023-07-17 00:15:19.1,NA
"22","Participant22","Participant22_Session2_Corrected.vtt","Session2","ARRIVAL_5",1,2023-07-17 00:21:08.48,NA,NA
"23","Participant22","Participant22_Session2_Corrected.vtt","Session2","Arrival_5",1,NA,NA,NA
"24","Participant22","Participant22_Session2_Corrected.vtt","Session2","Exhibit_12",1,2023-07-17 00:28:59.44,NA,NA
"25","Participant22","Participant22_Session2_Corrected.vtt","Session2","exhibit_12",1,NA,2023-07-17 00:34:09.25,NA
"26","Participant22","Participant22_Session2_Corrected.vtt","Session2","flowerman",1,2023-07-17 00:42:16.089,NA,NA
"27","Participant22","Participant22_Session2_Corrected.vtt","Session2","Flowerman",1,NA,2023-07-17 01:02:37.94,NA
"28","Participant22","Participant22_Session3_Corrected.vtt","Session3","Quest",1,2023-07-17 00:40:12.23,NA,NA
"29","Participant22","Participant22_Session3_Corrected.vtt","Session3","quest",1,NA,2023-07-17 00:50:56.35,NA
"30","Participant22","Participant22_Session3_Corrected.vtt","Session3","Waldo_1",1,2023-07-17 00:51:20.8,NA,NA
"31","Participant22","Participant22_Session3_Corrected.vtt","Session3","waldo_1",1,NA,2023-07-17 00:51:24.841,NA
"32","Participant27","Participant27_Session1_Corrected.vtt","Session1","arrival_3",1,2023-07-17 00:56:26.56,NA,NA
"33","Participant27","Participant27_Session1_Corrected.vtt","Session1",NA,1,NA,NA,NA
"34","Participant27","Participant27_Session2_Corrected.vtt","Session2","arrival_4",1,NA,NA,NA
"35","Participant28","Participant28_Session1_Corrected.vtt","Session1","journey",1,NA,NA,NA
"36","Participant33","Participant33_Session1_Corrected.vtt","Session1","floweman",1,2023-07-17 00:33:27.65,NA,NA
"37","Participant33","Participant33_Session1_Corrected.vtt","Session1","flowerman",1,NA,2023-07-17 00:49:04.231,NA
"38","Participant34","Participant34_Session2_Corrected.vtt","Session2","escape_from_the_zoo",1,NA,2023-07-17 00:03:35.765,NA
"39","Participant6","Participant6_Session2_Corrected.vtt","Session2","arrival_1",1,2023-07-17 00:55:31.92,NA,NA
"40","Participant6","Participant6_Session2_Corrected.vtt","Session2","dinasours_spacemen_and_ghouls",1,NA,2023-07-17 01:11:45.77,NA
"41","Participant8","Participant8_Session2_Corrected.vtt","Session2",NA,1,NA,NA,NA
"42","Participant8","Participant8_Session2_Corrected.vtt","Session2","journey",1,NA,2023-07-17 00:58:45.72,NA
"43","Participant9","Participant9_Session1_Corrected.vtt","Session1","birthday_party_fum",1,2023-07-17 00:30:39.36,NA,NA
"44","Participant9","Participant9_Session1_Corrected.vtt","Session1","birthday_party_fun",1,NA,2023-07-17 00:30:42.09,NA
"45","Participant9","Participant9_Session1_Corrected.vtt","Session1","picture_this",1,2023-07-17 00:34:40.14,NA,NA
"46","Participant9","Participant9_Session1_Corrected.vtt","Session1","picture_pictures",1,NA,2023-07-17 00:34:43.12,NA
