"stimuli","threshold","passed_threshold"
"airport","threshold: 33%",47
"airport","threshold: 40%",34
"airport","threshold: 50%",20
"airport","threshold: 60%",12
"airport","threshold: 67%",9
"ancient_rome","threshold: 33%",29
"ancient_rome","threshold: 40%",17
"ancient_rome","threshold: 50%",12
"ancient_rome","threshold: 60%",5
"ancient_rome","threshold: 67%",4
"arrival_1","threshold: 33%",63
"arrival_1","threshold: 40%",52
"arrival_1","threshold: 50%",32
"arrival_1","threshold: 60%",22
"arrival_1","threshold: 67%",13
"arrival_2","threshold: 33%",38
"arrival_2","threshold: 40%",32
"arrival_2","threshold: 50%",23
"arrival_2","threshold: 60%",12
"arrival_2","threshold: 67%",11
"arrival_3","threshold: 33%",48
"arrival_3","threshold: 40%",41
"arrival_3","threshold: 50%",32
"arrival_3","threshold: 60%",17
"arrival_3","threshold: 67%",11
"arrival_4","threshold: 33%",111
"arrival_4","threshold: 40%",92
"arrival_4","threshold: 50%",59
"arrival_4","threshold: 60%",34
"arrival_4","threshold: 67%",29
"arrival_5","threshold: 33%",75
"arrival_5","threshold: 40%",60
"arrival_5","threshold: 50%",39
"arrival_5","threshold: 60%",23
"arrival_5","threshold: 67%",16
"arrival_6","threshold: 33%",88
"arrival_6","threshold: 40%",65
"arrival_6","threshold: 50%",46
"arrival_6","threshold: 60%",31
"arrival_6","threshold: 67%",18
"being_a_pirate","threshold: 33%",28
"being_a_pirate","threshold: 40%",18
"being_a_pirate","threshold: 50%",13
"being_a_pirate","threshold: 60%",7
"being_a_pirate","threshold: 67%",6
"birthday_party_fun","threshold: 33%",39
"birthday_party_fun","threshold: 40%",32
"birthday_party_fun","threshold: 50%",20
"birthday_party_fun","threshold: 60%",9
"birthday_party_fun","threshold: 67%",7
"by_the_lake","threshold: 33%",38
"by_the_lake","threshold: 40%",30
"by_the_lake","threshold: 50%",12
"by_the_lake","threshold: 60%",6
"by_the_lake","threshold: 67%",4
"campsite","threshold: 33%",38
"campsite","threshold: 40%",26
"campsite","threshold: 50%",15
"campsite","threshold: 60%",8
"campsite","threshold: 67%",6
"deep_sea_divers","threshold: 33%",29
"deep_sea_divers","threshold: 40%",18
"deep_sea_divers","threshold: 50%",13
"deep_sea_divers","threshold: 60%",7
"deep_sea_divers","threshold: 67%",6
"dinosaurs_spacemen_and_ghouls","threshold: 33%",37
"dinosaurs_spacemen_and_ghouls","threshold: 40%",31
"dinosaurs_spacemen_and_ghouls","threshold: 50%",18
"dinosaurs_spacemen_and_ghouls","threshold: 60%",10
"dinosaurs_spacemen_and_ghouls","threshold: 67%",6
"escape_from_the_zoo","threshold: 33%",45
"escape_from_the_zoo","threshold: 40%",34
"escape_from_the_zoo","threshold: 50%",24
"escape_from_the_zoo","threshold: 60%",14
"escape_from_the_zoo","threshold: 67%",10
"exhibit_12","threshold: 33%",24
"exhibit_12","threshold: 40%",16
"exhibit_12","threshold: 50%",10
"exhibit_12","threshold: 60%",7
"exhibit_12","threshold: 67%",7
"flowerman","threshold: 33%",124
"flowerman","threshold: 40%",97
"flowerman","threshold: 50%",66
"flowerman","threshold: 60%",48
"flowerman","threshold: 67%",39
"fun_and_games_in_ancient_rome","threshold: 33%",0
"fun_and_games_in_ancient_rome","threshold: 40%",0
"fun_and_games_in_ancient_rome","threshold: 50%",0
"fun_and_games_in_ancient_rome","threshold: 60%",0
"fun_and_games_in_ancient_rome","threshold: 67%",0
"journey","threshold: 33%",129
"journey","threshold: 40%",102
"journey","threshold: 50%",70
"journey","threshold: 60%",49
"journey","threshold: 67%",37
"make_a_splash","threshold: 33%",30
"make_a_splash","threshold: 40%",23
"make_a_splash","threshold: 50%",14
"make_a_splash","threshold: 60%",10
"make_a_splash","threshold: 67%",4
"picture_this","threshold: 33%",34
"picture_this","threshold: 40%",31
"picture_this","threshold: 50%",15
"picture_this","threshold: 60%",7
"picture_this","threshold: 67%",7
"quest","threshold: 33%",121
"quest","threshold: 40%",107
"quest","threshold: 50%",82
"quest","threshold: 60%",49
"quest","threshold: 67%",42
"return","threshold: 33%",124
"return","threshold: 40%",103
"return","threshold: 50%",69
"return","threshold: 60%",45
"return","threshold: 67%",34
"the_unfriendly_giants","threshold: 33%",0
"the_unfriendly_giants","threshold: 40%",0
"the_unfriendly_giants","threshold: 50%",0
"the_unfriendly_giants","threshold: 60%",0
"the_unfriendly_giants","threshold: 67%",0
"unfriendly_giants","threshold: 33%",31
"unfriendly_giants","threshold: 40%",23
"unfriendly_giants","threshold: 50%",14
"unfriendly_giants","threshold: 60%",6
"unfriendly_giants","threshold: 67%",5
"waldo_1","threshold: 33%",51
"waldo_1","threshold: 40%",39
"waldo_1","threshold: 50%",25
"waldo_1","threshold: 60%",16
"waldo_1","threshold: 67%",11
"wanderer","threshold: 33%",186
"wanderer","threshold: 40%",161
"wanderer","threshold: 50%",120
"wanderer","threshold: 60%",79
"wanderer","threshold: 67%",60
"wild_west","threshold: 33%",46
"wild_west","threshold: 40%",33
"wild_west","threshold: 50%",22
"wild_west","threshold: 60%",13
"wild_west","threshold: 67%",9
